Cognoms de la població. 2023
Catalunya
Font: Idescat, a partir del Cens de població i habitatges anual de l'INE.
Nota: ‰ calculat sobre el total de la població.
Nota: Només es mostren els cognoms de freqüència igual o superior a 4.
.. Dada confidencial, amb baixa fiabilitat o no disponible
Institut d'Estadística de Catalunya
http://www.idescat.cat/cognoms/
Pos.;Cognom;Com a primer cognom. Freqüència;Com a primer cognom. ‰;Com a segon cognom. Freqüència;Com a segon cognom. ‰
36467;A;11;0,00;8;0,00
49517;AABACH;6;0,00;6;0,00
70986;AABACHRIM;5;0,00;..;..
39378;AABAD;15;0,00;..;..
89030;AABAID;5;0,00;..;..
37857;AABAJLA;11;0,00;7;0,00
64882;AABALA;5;0,00;..;..
78738;AABASI;5;0,00;..;..
33101;AABASLAMA;17;0,00;5;0,00
49517;AABBADA;7;0,00;5;0,00
89030;AABBOU;5;0,00;..;..
103641;AABDALAOUI;4;0,00;..;..
44694;AABDELAOUI;9;0,00;5;0,00
78738;AABDOU;6;0,00;..;..
35255;AABI;13;0,00;7;0,00
44694;AABICH;12;0,00;..;..
27578;AABID;19;0,00;10;0,00
30501;AABIDA;20;0,00;5;0,00
103641;AABIDI;4;0,00;..;..
52458;AABKARI;6;0,00;5;0,00
55921;AABOU;10;0,00;..;..
59859;AABOUBOU;4;0,00;5;0,00
42740;AABOUCH;14;0,00;..;..
30501;AABOUD;21;0,00;4;0,00
78738;AABOUDEN;5;0,00;..;..
89030;AABOUN;4;0,00;..;..
70986;AACH CHOUBA;7;0,00;..;..
89030;AACHIK;4;0,00;..;..
70986;AACHOUR;..;..;5;0,00
52458;AACHRAK;11;0,00;..;..
103641;AACHRAOUAT;4;0,00;..;..
89030;AADADOUCH;5;0,00;..;..
89030;AADDACH;5;0,00;..;..
28965;AADDAM;24;0,00;..;..
78738;AADDAME;6;0,00;..;..
40935;AADDI;14;0,00;..;..
52458;AADDOUZ;11;0,00;..;..
78738;AADI;..;..;6;0,00
103641;AADIDDOU;4;0,00;..;..
55921;AADIL;7;0,00;..;..
21501;AADMI;38;0,00;4;0,00
46970;AADOU;11;0,00;..;..
59859;AADOUCH;9;0,00;..;..
70986;AADOUZ;7;0,00;..;..
70986;AADSI;7;0,00;..;..
59859;AAFAR;9;0,00;..;..
52458;AAFER;11;0,00;..;..
52458;AAFFAN;5;0,00;6;0,00
28965;AAFIF;18;0,00;9;0,00
49517;AAFIFI;6;0,00;6;0,00
89030;AAFJES;5;0,00;..;..
89030;AAFUOALLAH;5;0,00;..;..
103641;AAGAARD;4;0,00;..;..
64882;AAGUILI;..;..;6;0,00
22565;AAIDOUN;35;0,00;4;0,00
27578;AAIROUT;18;0,00;11;0,00
89030;AAISSI;5;0,00;..;..
46970;AAJAL;4;0,00;9;0,00
64882;AAJIB;8;0,00;..;..
64882;AAJIR;8;0,00;..;..
31309;AAJNAH;20;0,00;4;0,00
89030;AAJOU;5;0,00;..;..
52458;AAJOUR;6;0,00;5;0,00
70986;AAKCHA;4;0,00;..;..
103641;AAKCHATEN;4;0,00;..;..
70986;AAKEL;4;0,00;..;..
78738;AAKI;5;0,00;..;..
26969;AAKID;19;0,00;11;0,00
64882;AAKIL;7;0,00;..;..
20834;AAKKI;30;0,00;14;0,00
64882;AAKLA;..;..;5;0,00
103641;AAKROUT;4;0,00;..;..
89030;AAL LALI;5;0,00;..;..
78738;AALA;4;0,00;..;..
103641;AALAM;4;0,00;..;..
78738;AALAOUEL;4;0,00;..;..
64882;AALAOUI;8;0,00;..;..
31309;AALI;22;0,00;..;..
89030;AALIEN;4;0,00;..;..
103641;AALILECH;4;0,00;..;..
30501;AALILI;14;0,00;11;0,00
89030;AALILIT;5;0,00;..;..
40935;AALILOU;15;0,00;..;..
78738;AALIOUAT;6;0,00;..;..
78738;AALIOUI;6;0,00;..;..
36467;AALLA;15;0,00;4;0,00
78738;AALLAL;..;..;4;0,00
27578;AALLALI;24;0,00;5;0,00
78738;AALLALOU;6;0,00;..;..
44694;AALLAM;13;0,00;..;..
35255;AALLAOUI;14;0,00;6;0,00
70986;AALLITOU;4;0,00;..;..
59859;AALOLI;8;0,00;..;..
39378;AALOU;7;0,00;10;0,00
89030;AALOUI;5;0,00;..;..
55921;AALOUL;9;0,00;..;..
70986;AALTO;7;0,00;..;..
59859;AAMAR;7;0,00;..;..
55921;AAMARA;6;0,00;4;0,00
23868;AAMAROUCH;34;0,00;..;..
70986;AAMAROUSS;7;0,00;..;..
89030;AAMENA;..;..;5;0,00
33101;AAMER;18;0,00;4;0,00
42740;AAMI;15;0,00;..;..
26335;AAMIMI;27;0,00;4;0,00
18371;AAMIR;52;0,00;..;..
31309;AAMIYAR;15;0,00;9;0,00
34146;AAMMOURI;17;0,00;4;0,00
70986;AAMMY;7;0,00;..;..
70986;AAMOURI;7;0,00;..;..
55921;AAMRAN;7;0,00;..;..
35255;AAMRANI;20;0,00;..;..
46970;AAMRAOUI;9;0,00;4;0,00
44694;AAMRI;9;0,00;5;0,00
89030;AAMRY;5;0,00;..;..
42740;AANAN;10;0,00;5;0,00
89030;AANANA;..;..;4;0,00
49517;AANANE;4;0,00;8;0,00
70986;AANANOU;..;..;5;0,00
52458;AANANOUCH;8;0,00;..;..
103641;AANDERUD;4;0,00;..;..
46970;AANEI;13;0,00;..;..
44694;AANFOUD;10;0,00;4;0,00
49517;AANFUF;11;0,00;..;..
103641;AANI;4;0,00;..;..
44694;AANIBA;11;0,00;..;..
78738;AANKAD;6;0,00;..;..
78738;AANKICH;6;0,00;..;..
89030;AANKIZ;5;0,00;..;..
89030;AANKOUR;..;..;4;0,00
52458;AANOUB;4;0,00;7;0,00
70986;AANOUN;5;0,00;..;..
23868;AANOUZ;29;0,00;7;0,00
55921;AANTAR;6;0,00;4;0,00
37857;AANZI;17;0,00;..;..
64882;AANZOUL;..;..;5;0,00
46970;AAOUAD;8;0,00;5;0,00
59859;AAOUAT;9;0,00;..;..
78738;AAOUBAY;6;0,00;..;..
78738;AAOUIDAT;6;0,00;..;..
103641;AAOUINI;4;0,00;..;..
103641;AAQUI;4;0,00;..;..
2998;AARAB;413;0,05;164;0,02
52458;AARAB RIFI;5;0,00;6;0,00
78738;AARABE;6;0,00;..;..
42740;AARABI;10;0,00;5;0,00
55921;AARABOU;7;0,00;..;..
89030;AARAJ;5;0,00;..;..
27578;AARASS;17;0,00;12;0,00
70986;AARBAJI;7;0,00;..;..
55921;AARBAOUI;5;0,00;5;0,00
42740;AARBOUT;8;0,00;7;0,00
40935;AAREYI;10;0,00;6;0,00
70986;AARIARA;4;0,00;..;..
40935;AARIBA;8;0,00;8;0,00
46970;AARIBOU;12;0,00;..;..
64882;AARICH;4;0,00;4;0,00
52458;AARIEB;7;0,00;4;0,00
59859;AARIF;7;0,00;..;..
103641;AARIOUCHE;4;0,00;..;..
64882;AARKOUB;4;0,00;4;0,00
42740;AARKOUBI;9;0,00;6;0,00
103641;AAROUAL;4;0,00;..;..
70986;AAROUCH;7;0,00;..;..
37857;AAROUD;12;0,00;6;0,00
35255;AAROUS;13;0,00;7;0,00
42740;AAROUSS;12;0,00;..;..
